"","start.year","start.month","start.dayofweek","start.hour","Member.type","total.rides","avg.duration"
"247",2015,"December","Tuesday",8,"Casual",19,42.8247368421053
"248",2015,"December","Tuesday",8,"Member",1053,11.1862108262108
"249",2015,"December","Tuesday",9,"Casual",22,26.2827272727273
"250",2015,"December","Tuesday",9,"Member",524,10.0775
"251",2015,"December","Tuesday",10,"Casual",39,39.3751282051282
"252",2015,"December","Tuesday",10,"Member",245,10.6158775510204
"253",2015,"December","Tuesday",11,"Casual",76,40.1094736842105
"254",2015,"December","Tuesday",11,"Member",306,10.3834967320261
"255",2015,"December","Tuesday",12,"Casual",63,40.795873015873
"256",2015,"December","Tuesday",12,"Member",363,10.8421212121212
"257",2015,"December","Tuesday",13,"Casual",72,45.0048611111111
"258",2015,"December","Tuesday",13,"Member",376,12.6057180851064
"259",2015,"December","Tuesday",14,"Casual",96,37.588125
"260",2015,"December","Tuesday",14,"Member",360,10.7517222222222
"261",2015,"December","Tuesday",15,"Casual",92,30.9914130434783
"262",2015,"December","Tuesday",15,"Member",471,11.2136305732484
"263",2015,"December","Tuesday",16,"Casual",115,30.2750434782609
"264",2015,"December","Tuesday",16,"Member",728,12.4961675824176
"265",2015,"December","Tuesday",17,"Casual",64,25.9490625
"266",2015,"December","Tuesday",17,"Member",1305,11.7608122605364
"267",2015,"December","Tuesday",18,"Casual",43,28.9732558139535
"268",2015,"December","Tuesday",18,"Member",1107,10.9094941282746
"269",2015,"December","Tuesday",19,"Casual",42,19.6514285714286
"270",2015,"December","Tuesday",19,"Member",743,11.0607537012113
"271",2015,"December","Tuesday",20,"Casual",21,41.16
"272",2015,"December","Tuesday",20,"Member",471,10.7117197452229
"273",2015,"December","Tuesday",21,"Casual",33,22.6381818181818
"274",2015,"December","Tuesday",21,"Member",353,9.84807365439094
"275",2015,"December","Tuesday",22,"Casual",13,31.7876923076923
"276",2015,"December","Tuesday",22,"Member",201,12.2729850746269
"277",2015,"December","Tuesday",23,"Casual",12,29.0391666666667
"278",2015,"December","Tuesday",23,"Member",106,9.43433962264151
"279",2015,"December","Wednesday",0,"Casual",7,37.7071428571429
"280",2015,"December","Wednesday",0,"Member",55,9.38672727272727
"281",2015,"December","Wednesday",1,"Casual",5,41.428
"282",2015,"December","Wednesday",1,"Member",21,11.8985714285714
"283",2015,"December","Wednesday",2,"Casual",1,9.63
"284",2015,"December","Wednesday",2,"Member",6,5.125
"285",2015,"December","Wednesday",3,"Member",2,10.94
"286",2015,"December","Wednesday",4,"Member",11,13.7518181818182
"287",2015,"December","Wednesday",5,"Casual",1,11.28
"288",2015,"December","Wednesday",5,"Member",109,10.6570642201835
"289",2015,"December","Wednesday",6,"Casual",8,15
"290",2015,"December","Wednesday",6,"Member",354,9.91754237288136
"291",2015,"December","Wednesday",7,"Casual",15,14.998
"292",2015,"December","Wednesday",7,"Member",745,10.742
"293",2015,"December","Wednesday",8,"Casual",18,25.3666666666667
"294",2015,"December","Wednesday",8,"Member",1266,11.1513191153239
"295",2015,"December","Wednesday",9,"Casual",29,22.1413793103448
"296",2015,"December","Wednesday",9,"Member",660,10.4507424242424
"297",2015,"December","Wednesday",10,"Casual",51,26.0678431372549
"298",2015,"December","Wednesday",10,"Member",274,10.4914233576642
"299",2015,"December","Wednesday",11,"Casual",70,54.644
"300",2015,"December","Wednesday",11,"Member",281,15.3838434163701
"301",2015,"December","Wednesday",12,"Casual",68,31.8527941176471
"302",2015,"December","Wednesday",12,"Member",339,10.0693215339233
"303",2015,"December","Wednesday",13,"Casual",70,30.806
"304",2015,"December","Wednesday",13,"Member",328,9.49640243902439
"305",2015,"December","Wednesday",14,"Casual",69,28.8584057971014
"306",2015,"December","Wednesday",14,"Member",315,9.86473015873016
"307",2015,"December","Wednesday",15,"Casual",70,30.0827142857143
"308",2015,"December","Wednesday",15,"Member",338,11.5655029585799
"309",2015,"December","Wednesday",16,"Casual",61,19.9859016393443
"310",2015,"December","Wednesday",16,"Member",582,11.6873195876289
"311",2015,"December","Wednesday",17,"Casual",53,23.4762264150943
"312",2015,"December","Wednesday",17,"Member",1029,11.7048785228377
"313",2015,"December","Wednesday",18,"Casual",34,43.6561764705882
